id,name_en,name_ko,name_ga,category,start_rule,end_rule,priority,emoji,description_en,description_ko,description_ga,permissible_decor_en,permissible_decor_ko,permissible_decor_ga,permissible_food_en,permissible_food_ko,permissible_food_ga,permissible_activities_en,permissible_activities_ko,permissible_activities_ga,permissible_media_en,permissible_media_ko,permissible_media_ga,impermissible_decor_en,impermissible_decor_ko,impermissible_decor_ga,impermissible_food_en,impermissible_food_ko,impermissible_food_ga,impermissible_activities_en,impermissible_activities_ko,impermissible_activities_ga,impermissible_media_en,impermissible_media_ko,impermissible_media_ga,notes,impermissible_end_rule,impermissible_override_start_rule,impermissible_override_source,impermissible_interim_start_rule,impermissible_interim_end_rule,impermissible_interim_source,impermissible_interim_source_prefix
winter,Winter,겨울,An Geimhreadh,season,winter,spring-1,10,❄️,"Cold weather settles in, bringing shorter days and more time indoors. Warm lighting, cozy spaces, and simple winter routines fit the season.","추운 날씨가 자리 잡으면서 낮이 짧아지고 실내에서 보내는 시간이 늘어납니다. 따뜻한 조명과 아늑한 공간, 소소한 겨울 일상이 어울리는 계절입니다.","Éiríonn an aimsir fuar, tagann laethanta níos giorra agus caitear níos mó ama istigh. Oireann soilsiú teolaí, spásanna cluthara agus nósanna simplí geimhridh don séasúr.",Snowmen | Snowflakes | Snow-covered scenery | Winter village décor,눈사람 | 눈송이 | 눈 덮인 풍경 | 겨울 마을 장식,Fir sneachta | Calóga sneachta | Radharcanna faoi shneachta | Maisiúcháin sráidbhaile geimhridh,,,,,,,,,,Hearts | Valentines | Cupid | Love letters | Conversation hearts | Heart-shaped candy | Roses | Romantic décor | Pink and red décor | “Be Mine” décor | Valentine’s candy,하트 | 밸런타인 카드 | 큐피드 | 연애편지 | 메시지가 적힌 하트 사탕 | 하트 모양 사탕 | 장미 | 로맨틱한 장식 | 분홍색과 빨간색 장식 | “내 사랑이 되어 줘” 장식 | 밸런타인데이 사탕,Croíthe | Cártaí Vailintín | Cúipid | Litreacha grá | Milseáin chroíchruthacha le teachtaireachtaí | Milseáin chroíchruthacha | Rósanna | Maisiúcháin rómánsúla | Maisiúcháin bhándearga agus dhearga | Maisiúcháin “Bí Liom” | Milseáin Lá Fhéile Vailintín,,,,,,,,,,,01-31,,,02-15,03-01-1,patrick,permissible
spring,Spring,봄,An tEarrach,season,spring,summer-1,10,🌷,"Welcome longer days, new growth, and brighter colors. Bring out lighter décor, flowers, and other signs of spring.","길어진 낮과 새싹, 더 밝아진 색감을 맞이해 보세요. 산뜻한 장식과 꽃 등 봄을 느낄 수 있는 것들을 꺼내 보세요.","Cuir fáilte roimh laethanta níos faide, fás nua agus dathanna níos gile. Cuir amach maisiúcháin níos éadroime, bláthanna agus comharthaí eile an earraigh.",Pastel colors | Floral décor | Spring flowers décor | Cherry blossoms décor | Floral wreaths,파스텔 색상 | 꽃 장식 | 봄꽃 장식 | 벚꽃 장식 | 꽃 화환,Dathanna pastail | Maisiúcháin bhláthanna | Maisiúcháin bláthanna earraigh | Maisiúcháin silínbláthanna | Fleasca bláthanna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summer,Summer,여름,An Samhradh,season,summer,labor-1,10,☀️,"Enjoy long evenings, warm weather, and more time outdoors. Summer is the season for outdoor meals, weekend plans, and making the most of the extra daylight.","긴 저녁과 따뜻한 날씨, 더 여유로운 야외 시간을 즐겨 보세요. 여름은 야외에서 식사하고 주말 계획을 세우며 길어진 낮을 마음껏 활용하기 좋은 계절입니다.","Bain taitneamh as tráthnónta fada, aimsir the agus níos mó ama amuigh faoin aer. Is é an samhradh an séasúr do bhéilí amuigh faoin aer, do phleananna don deireadh seachtaine agus don leas is fearr a bhaint as na huaireanta breise de sholas an lae.",Bright colors | Tropical décor | Beach décor | Coastal décor | Nautical décor | Seashell décor | Pool themes | Picnic themes | Barbecue themes | Lemon and citrus décor | Watermelon décor | Tropical fruit décor | Summer floral décor,밝은 색상 | 열대 장식 | 해변 장식 | 해안 장식 | 해양 장식 | 조개껍데기 장식 | 수영장 테마 | 피크닉 테마 | 바비큐 테마 | 레몬과 시트러스 장식 | 수박 장식 | 열대 과일 장식 | 여름 꽃 장식,Dathanna geala | Maisiúcháin trópaiceacha | Maisiúcháin trá | Maisiúcháin chósta | Maisiúcháin farraige | Maisiúcháin sliogán | Téamaí linn snámha | Téamaí picnic | Téamaí barbeque | Maisiúcháin líomóide agus citris | Maisiúcháin watermelon | Maisiúcháin torthaí trópaiceacha | Maisiúcháin bláthanna samhraidh,,,,,,,,,,,,,,,,,,,,,,,,08-01,late-summer,,,,
late-summer,Late Summer,늦여름,Deireadh an tSamhraidh,season,labor,autumn-1,20,🌻,"The days are still warm, but the light is changing. Savor the last of summer before turning the page.","아직 따뜻한 날들, 조금씩 달라지는 햇살. 다음 계절을 맞기 전 여름의 끝을 즐겨 보세요.","Tá na laethanta fós te, ach tá an solas ag athrú. Bain sult as deireadh an tsamhraidh sula dtagann an fómhar.",Beach décor | Coastal décor | Nautical décor | Seashell décor | Picnic themes | Barbecue themes | Lemon and citrus décor | Watermelon décor | Summer floral décor | Apple décor | Sunflower décor,해변 장식 | 해안 장식 | 해양 장식 | 조개껍데기 장식 | 피크닉 테마 | 바비큐 테마 | 레몬과 시트러스 장식 | 수박 장식 | 여름 꽃 장식 | 사과 장식 | 해바라기 장식,Maisiúcháin trá | Maisiúcháin chósta | Maisiúcháin farraige | Maisiúcháin sliogán | Téamaí picnic | Téamaí barbeque | Maisiúcháin líomóide agus citris | Maisiúcháin watermelon | Maisiúcháin bláthanna samhraidh | Maisiúcháin úll | Maisiúcháin lus na gréine,,,,,,,,,,Decorative pumpkins or gourds | Fall wreaths | Apple-cinnamon scents | “Hello Fall” décor | Sweater-weather themes | Harvest décor | Autumn color schemes | Halloween décor,"장식용 호박이나 박 | 가을 화환 | 사과·시나몬 향 | “안녕, 가을” 장식 | 스웨터가 어울리는 날씨 테마 | 수확 테마 장식 | 가을 색상 구성 | 핼러윈 장식",Puimcíní nó gourdaí maisiúla | Fleasca fómhair | Bolaithe úll agus cainéil | Maisiúcháin “Fáilte roimh an bhFómhar” | Téamaí aimsire geansaí | Maisiúcháin an fhómhair | Scéimeanna dathanna fómhair | Maisiúcháin Oíche Shamhna,Pumpkin spice | Maple flavors | Warm or cold cider,펌킨 스파이스 | 메이플 풍미 | 따뜻하거나 차가운 사과 사이다,Spíosra puimcín | Blasanna mailpe | Leann úll te nó fuar,,,,,,,,,,,,,,
autumn,Autumn,가을,An Fómhar,season,autumn,winter-1,10,🍂,"Enjoy the cooler weather, seasonal harvests, and earthy autumn colors. It’s a good time for relaxed evenings and the gradual shift toward colder days.","선선한 날씨와 제철 수확물, 차분한 가을빛을 즐겨 보세요. 여유로운 저녁을 보내며 점차 추워지는 날씨를 맞이하기 좋은 때입니다.","Bain taitneamh as an aimsir níos fuaire, as torthaí an fhómhair agus as dathanna créúla an tséasúir. Is tráth maith é do thráthnónta suaimhneacha agus don athrú de réir a chéile i dtreo laethanta níos fuaire.",Decorative pumpkins or gourds | Fall wreaths | Apple-cinnamon scents | “Hello Fall” décor | Sweater-weather themes | Harvest décor | Autumn color schemes,"장식용 호박이나 박 | 가을 화환 | 사과·시나몬 향 | “안녕, 가을” 장식 | 스웨터가 어울리는 날씨 테마 | 수확 테마 장식 | 가을 색상 구성",Puimcíní nó gourdaí maisiúla | Fleasca fómhair | Bolaithe úll agus cainéil | Maisiúcháin “Fáilte roimh an bhFómhar” | Téamaí aimsire geansaí | Maisiúcháin an fhómhair | Scéimeanna dathanna fómhair,Pumpkin spice | Maple flavors | Warm or cold cider,펌킨 스파이스 | 메이플 풍미 | 따뜻하거나 차가운 사과 사이다,Spíosra puimcín | Blasanna mailpe | Leann úll te nó fuar,,,,,,,Halloween décor | Jack-o’-lanterns | Ghosts | Witches | Bats | Black cats | Skeletons | Spiderwebs | Haunted houses | Candy | Candy corn | Costumes | Candles,핼러윈 장식 | 잭오랜턴 | 유령 | 마녀 | 박쥐 | 검은 고양이 | 해골 | 거미줄 | 유령의 집 | 사탕 | 캔디 콘 | 분장 의상 | 양초,Maisiúcháin Oíche Shamhna | Lóchrainn phuimcín | Taibhsí | Cailleacha | Sciatháin leathair | Cait dhubha | Cnámharlaigh | Líonta damháin alla | Tithe taibhse | Milseáin | Candy corn | Cultacha | Coinnle,,,,,,,,,,,09-30,11-01,thanksgiving,10-01,10-31,halloween,
valentine,Valentine’s Day,밸런타인데이,Lá Fhéile Vailintín,holiday,02-01,02-14,30,🩷,"Show someone you care with a thoughtful gesture, whether it’s a card, flowers, or time spent together.","카드나 꽃, 함께 보내는 시간처럼 세심한 마음이 담긴 행동으로 소중한 사람에게 애정을 전해 보세요.","Léirigh do dhuine go bhfuil cion agat air le comhartha tuisceanach, bíodh sé ina chárta, ina bhláthanna nó ina am a chaitheann sibh le chéile.",Hearts | Valentines | Cupid | Love letters | Conversation hearts | Heart-shaped candy | Roses | Romantic décor | Pink and red décor | “Be Mine” décor | Valentine’s candy,하트 | 밸런타인 카드 | 큐피드 | 연애편지 | 메시지가 적힌 하트 사탕 | 하트 모양 사탕 | 장미 | 로맨틱한 장식 | 분홍색과 빨간색 장식 | “내 사랑이 되어 줘” 장식 | 밸런타인데이 사탕,Croíthe | Cártaí Vailintín | Cúipid | Litreacha grá | Milseáin chroíchruthacha le teachtaireachtaí | Milseáin chroíchruthacha | Rósanna | Maisiúcháin rómánsúla | Maisiúcháin bhándearga agus dhearga | Maisiúcháin “Bí Liom” | Milseáin Lá Fhéile Vailintín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patrick,St. Patrick’s Day,성 패트릭의 날,Lá Fhéile Pádraig,holiday,03-01,03-17,30,☘️,"Celebrate Irish culture through music, stories, a touch of green, and perhaps a beer or two.","음악과 이야기, 초록빛으로 아일랜드 문화를 즐겨 보세요. 맥주 한두 잔을 곁들여도 좋겠죠.","Ceiliúir cultúr na hÉireann le ceol, scéalta, beagán glas agus b’fhéidir beoir nó dhó.",St. Patrick’s Day décor | Shamrocks | Four-leaf clovers | Leprechauns | Pots of gold | Rainbows | Green décor | Gold décor | Celtic knots | Horseshoes | St. Patrick imagery | “Lucky” décor | Green clothing | St. Patrick’s Day parades,성 패트릭의 날 장식 | 토끼풀 | 네잎클로버 | 레프러콘 | 금화가 든 항아리 | 무지개 | 초록색 장식 | 금색 장식 | 켈트 매듭 | 말편자 | 성 패트릭 이미지 | “행운” 장식 | 초록색 옷 | 성 패트릭의 날 퍼레이드,Maisiúcháin Lá Fhéile Pádraig | Seamróga | Seamróga ceithre dhuilleog | Lucharacháin | Potaí óir | Bogha báistí | Maisiúcháin ghlasa | Maisiúcháin órga | Snaidhmeanna Ceilteacha | Crúite capaill | Íomhánna de Naomh Pádraig | Maisiúcháin “Ádh” | Éadaí glasa | Paráidí Lá Fhéile Pádraig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transition,Spring on the Horizon,봄을 기다리며,An tEarrach ag Teacht,transition,03-18,spring-1,15,🌱,"Put away St. Patrick’s Day decorations and start getting ready for spring. Winter is still here, but the transition to spring has begun.",성 패트릭의 날 장식을 정리하고 봄맞이 준비를 시작해 보세요. 아직 겨울이지만 봄으로의 전환은 이미 시작되었습니다.,"Cuir maisiúcháin Lá Fhéile Pádraig i leataobh agus tosaigh ag ullmhú don earrach. Tá an geimhreadh linn fós, ach tá an t-athrú i dtreo an earraigh tosaithe.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easter,Easter,부활절,An Cháisc,holiday,easter-14,easter,30,🍫,"Celebrate Easter with spring flowers, pastel colors, decorated eggs, and plenty of candy.","봄꽃과 파스텔 색상, 장식한 달걀, 풍성한 사탕으로 부활절을 기념해 보세요.","Ceiliúir an Cháisc le bláthanna earraigh, dathanna pastail, uibheacha maisithe agus neart milseán.",Easter décor | Easter eggs | Decorated eggs | Easter baskets | Easter bunnies | Easter chicks | Easter candy | Chocolate eggs | Chocolate bunnies | Easter wreaths | Egg hunts,부활절 장식 | 부활절 달걀 | 장식 달걀 | 부활절 바구니 | 부활절 토끼 | 부활절 병아리 | 부활절 사탕 | 초콜릿 달걀 | 초콜릿 토끼 | 부활절 화환 | 달걀 찾기,Maisiúcháin na Cásca | Uibheacha Cásca | Uibheacha maisithe | Ciseáin Cásca | Coiníní Cásca | Sicíní Cásca | Milseáin Cásca | Uibheacha seacláide | Coiníní seacláide | Fleasca Cásca | Tóraíocht uibheacha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
early-summer,Late Spring,늦봄,Deireadh an Earraigh,transition,memorial,summer-1,15,☀️,"Memorial Day marks the unofficial start of summer, even while spring is still underway. It’s time to bring out the first warm-weather favorites and start easing into summer.","아직 봄이 이어지고 있지만, 메모리얼 데이는 비공식적인 여름의 시작을 알립니다. 따뜻한 날씨에 즐겨 찾는 것들을 하나둘 꺼내며 여름을 천천히 맞이할 때입니다.","Is é Lá Cuimhneacháin Mheiriceá tús neamhoifigiúil an tsamhraidh, cé go bhfuil an t-earrach fós linn. Tá sé in am na chéad rudaí is ansa leat don aimsir the a thabhairt amach agus tosú ag dul i dtaithí ar an samhradh.",Nautical décor | Coastal décor | Picnic themes | Barbecue themes | Lemon and citrus décor | Strawberry décor | Outdoor entertaining décor,해양 장식 | 해안 장식 | 피크닉 테마 | 바비큐 테마 | 레몬과 시트러스 장식 | 딸기 장식 | 야외 모임 장식,Maisiúcháin farraige | Maisiúcháin chósta | Téamaí picnic | Téamaí barbeque | Maisiúcháin líomóide agus citris | Maisiúcháin sútha talún | Maisiúcháin siamsaíochta faoin aer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
